Date,GoogleTrend,State
2014-08-24,66,HB
2014-08-31,74,HB
2014-09-07,71,HB
2014-09-14,73,HB
2014-09-21,54,HB
2014-09-28,64,HB
2014-10-05,66,HB
2014-10-12,67,HB
2014-10-19,74,HB
2014-10-26,66,HB
2014-11-02,63,HB
2014-11-09,70,HB
2014-11-16,71,HB
2014-11-23,76,HB
2014-11-30,99,HB
2014-12-07,87,HB
2014-12-14,100,HB
2014-12-21,87,HB
2014-12-28,88,HB
2015-01-04,60,HB
2015-01-11,58,HB
2015-01-18,65,HB
2015-01-25,73,HB
2015-02-01,65,HB
2015-02-08,66,HB
2015-02-15,75,HB
2015-02-22,57,HB
2015-03-01,78,HB
2015-03-08,57,HB
2015-03-15,68,HB
2015-03-22,58,HB
2015-03-29,65,HB
2015-04-05,59,HB
2015-04-12,78,HB
2015-04-19,50,HB
2015-04-26,75,HB
2015-05-03,72,HB
2015-05-10,66,HB
2015-05-17,76,HB
2015-05-24,72,HB
2015-05-31,68,HB
2015-06-07,63,HB
2015-06-14,76,HB
2015-06-21,71,HB
2015-06-28,92,HB
2015-07-05,67,HB
2015-07-12,80,HB
2015-07-19,64,HB
2015-07-26,80,HB
2012-12-30,55,HH
2013-01-06,67,HH
2013-01-13,51,HH
2013-01-20,58,HH
2013-01-27,50,HH
2013-02-03,62,HH
2013-02-10,51,HH
2013-02-17,58,HH
2013-02-24,49,HH
2013-03-03,62,HH
2013-03-10,53,HH
2013-03-17,68,HH
2013-03-24,66,HH
2013-03-31,59,HH
2013-04-07,60,HH
2013-04-14,51,HH
2013-04-21,54,HH
2013-04-28,54,HH
2013-05-05,57,HH
2013-05-12,56,HH
2013-05-19,49,HH
2013-05-26,64,HH
2013-06-02,50,HH
2013-06-09,54,HH
2013-06-16,70,HH
2013-06-23,58,HH
2013-06-30,71,HH
2013-07-07,61,HH
2013-07-14,70,HH
2013-07-21,66,HH
2013-07-28,78,HH
2013-08-04,64,HH
2013-08-11,63,HH
2013-08-18,71,HH
2013-08-25,62,HH
2013-09-01,63,HH
2013-09-08,68,HH
2013-09-15,55,HH
2013-09-22,68,HH
2013-09-29,58,HH
2013-10-06,69,HH
2013-10-13,59,HH
2013-10-20,63,HH
2013-10-27,61,HH
2013-11-03,61,HH
2013-11-10,66,HH
2013-11-17,76,HH
2013-11-24,70,HH
2013-12-01,74,HH
2013-12-08,84,HH
2013-12-15,94,HH
2013-12-22,66,HH
2013-12-29,73,HH
2014-01-05,66,HH
2014-01-12,57,HH
2014-01-19,67,HH
2014-01-26,58,HH
2014-02-02,72,HH
2014-02-09,62,HH
2014-02-16,76,HH
2014-02-23,62,HH
2014-03-02,69,HH
2014-03-09,58,HH
2014-03-16,70,HH
2014-03-23,59,HH
2014-03-30,71,HH
2014-04-06,57,HH
2014-04-13,78,HH
2014-04-20,61,HH
2014-04-27,88,HH
2014-05-04,62,HH
2014-05-11,64,HH
2014-05-18,72,HH
2014-05-25,65,HH
2014-06-01,73,HH
2014-06-08,59,HH
2014-06-15,76,HH
2014-06-22,61,HH
2014-06-29,79,HH
2014-07-06,56,HH
2014-07-13,72,HH
2014-07-20,61,HH
2014-07-27,74,HH
2014-08-03,71,HH
2014-08-10,70,HH
2014-08-17,70,HH
2014-08-24,65,HH
2014-08-31,67,HH
2014-09-07,61,HH
2014-09-14,69,HH
2014-09-21,60,HH
2014-09-28,74,HH
2014-10-05,66,HH
2014-10-12,66,HH
2014-10-19,75,HH
2014-10-26,62,HH
2014-11-02,83,HH
2014-11-09,75,HH
2014-11-16,69,HH
2014-11-23,87,HH
2014-11-30,85,HH
2014-12-07,96,HH
2014-12-14,100,HH
2014-12-21,90,HH
2014-12-28,81,HH
2015-01-04,81,HH
2015-01-11,68,HH
2015-01-18,69,HH
2015-01-25,77,HH
2015-02-01,75,HH
2015-02-08,79,HH
2015-02-15,75,HH
2015-02-22,67,HH
2015-03-01,84,HH
2015-03-08,74,HH
2015-03-15,80,HH
2015-03-22,64,HH
2015-03-29,80,HH
2015-04-05,72,HH
2015-04-12,81,HH
2015-04-19,61,HH
2015-04-26,85,HH
2015-05-03,74,HH
2015-05-10,68,HH
2015-05-17,82,HH
2015-05-24,68,HH
2015-05-31,83,HH
2015-06-07,82,HH
2015-06-14,81,HH
2015-06-21,67,HH
2015-06-28,99,HH
2015-07-05,76,HH
2015-07-12,91,HH
2015-07-19,76,HH
2015-07-26,93,HH
2012-12-30,61,HE
2013-01-06,68,HE
2013-01-13,55,HE
2013-01-20,62,HE
2013-01-27,50,HE
2013-02-03,64,HE
2013-02-10,55,HE
2013-02-17,65,HE
2013-02-24,55,HE
2013-03-03,55,HE
2013-03-10,52,HE
2013-03-17,66,HE
2013-03-24,62,HE
2013-03-31,59,HE
2013-04-07,66,HE
2013-04-14,55,HE
2013-04-21,62,HE
2013-04-28,56,HE
2013-05-05,61,HE
2013-05-12,65,HE
2013-05-19,57,HE
2013-05-26,65,HE
2013-06-02,57,HE
2013-06-09,53,HE
2013-06-16,73,HE
2013-06-23,62,HE
2013-06-30,68,HE
2013-07-07,59,HE
2013-07-14,74,HE
2013-07-21,66,HE
2013-07-28,71,HE
2013-08-04,59,HE
2013-08-11,64,HE
2013-08-18,58,HE
2013-08-25,70,HE
2013-09-01,58,HE
2013-09-08,63,HE
2013-09-15,54,HE
2013-09-22,62,HE
2013-09-29,56,HE
2013-10-06,64,HE
2013-10-13,59,HE
2013-10-20,64,HE
2013-10-27,57,HE
2013-11-03,66,HE
2013-11-10,55,HE
2013-11-17,64,HE
2013-11-24,68,HE
2013-12-01,70,HE
2013-12-08,75,HE
2013-12-15,92,HE
2013-12-22,71,HE
2013-12-29,61,HE
